# Revision 1.0,,,,,,,,,,,,,,,
"# October 26, 2020",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
LIFCL-17,,,,,,,,,LIFCL-40,,,,,,
Pin Number,Pin Function,Bank,Dual Function,Differential,HIGHSPEED,DQS,,,Pin Number,Pin Function,Bank,Dual Function,Differential,HIGHSPEED,DQS
N8,NC,-,-,-,-,-,,,N8,PB36A,4,-,True_OF_PB36B,TRUE,BDQ38
N9,NC,-,-,-,-,-,,,N9,PB36B,4,-,Comp_OF_PB36A,TRUE,BDQ38
P1,PB30A,5,PCLKT5_3,True_OF_PB30B,TRUE,BDQ22,,,P1,PB12A,5,PCLKT5_3,True_OF_PB12B,TRUE,-
P10,PB58A,3,ADC_CP7,True_OF_PB58B,TRUE,BDQ62,,,P10,PB56A,3,ADC_CP7,True_OF_PB56B,TRUE,BDQ60
P11,PB56B,3,PCLKC3_0/ADC_CN5,Comp_OF_PB56A,TRUE,BDQ62,,,P11,PB54B,3,PCLKC3_0/ADC_CN5,Comp_OF_PB54A,TRUE,BDQ60
P12,VCCIO3,3,-,-,-,-,,,P12,VCCIO3,3,-,-,-,-
P13,VSS,-,-,-,-,-,,,P13,VSS,-,-,-,-,-
P14,NC,-,-,-,-,-,,,P14,PB70A,3,COMP2IP,True_OF_PB70B,TRUE,BDQ76
P15,PB66A,3,PCLKT3_2/ADC_CP13,True_OF_PB66B,TRUE,BDQ62,,,P15,PB72A,3,PCLKT3_2/ADC_CP13,True_OF_PB72B,TRUE,BDQ76
P16,PB66B,3,PCLKC3_2/ADC_CN13,Comp_OF_PB66A,TRUE,BDQ62,,,P16,PB72B,3,PCLKC3_2/ADC_CN13,Comp_OF_PB72A,TRUE,BDQ76
P2,PB30B,5,PCLKC5_3/VREF5_2,Comp_OF_PB30A,TRUE,BDQ22,,,P2,PB12B,5,PCLKC5_3/VREF5_2,Comp_OF_PB12A,TRUE,-
